day,dns_qdomainname,shieldid
2022-11-01,fortunescrollstrap.com,5
2022-10-03,foxcarolina.com,4
2022-11-02,fractureme.com,4
2022-12-06,froala.com,4
2022-10-03,funraise.org,4
2022-10-05,gabbybernstein.com,4
2022-10-05,gadgettopdeals.net,4
2022-10-04,gcdcrs.com,4
2022-10-03,genu5.life,4
2022-10-26,genxradio.co.uk,4
2022-10-14,getamaranthvase.io,4
2022-11-10,getblaze.app,4
2022-10-19,getherefwu.xyz,4
2022-10-03,getmyboat.com,4
2022-11-14,gingrich360.com,4
2022-10-03,gmio.net,4
2022-10-04,governessmagnituderecoil.com,5
2023-01-16,grablemartin.com,4
2022-10-27,gracza.pl,4
2022-11-01,graphicdesignjunction.com,4
2022-11-10,greatappsfactory.com,4
2022-11-09,greeninitiatives.gov.sa,4
2022-11-10,greeninitiatives.gov.sa,4
2022-11-08,grillgirl.com,4
2023-01-18,guimcode.co.uk,4
2022-10-04,hackettpublishing.com,4
2022-10-22,hague-mothers.org.uk,4
2022-10-04,halfpricebooks.com,4
2022-12-01,hamapps.com,4
2022-12-01,hamspots.net,4
2022-10-04,handinstituteofcharleston.com,4
2022-10-03,happymammoth.com,4
2022-10-03,hauntichalloween.com,4
2022-10-04,hauntichalloween.com,5
2022-12-05,healthy-trends.org,4
2022-12-06,healthy-trends.org,5
2022-12-08,healthy-trends.org,4
2022-10-03,hepsiian.com,4
2022-10-04,hidbok.com,4
2022-10-05,historicalpost.com,4
2022-10-13,historicalpost.com,4
2022-10-14,historicalpost.com,4
2022-11-07,historictalk.com,4
2022-11-14,hometownbyhandlebar.com,4
2022-11-15,houstonpublicmedia.org,5
2022-10-03,howismyspanish.com,4
2022-10-04,hpbdirect.com,4
2023-01-17,hund.io,4
2023-01-16,hypervelocityconsulting.com,4
2023-01-18,hypervelocityconsulting.com,4
2022-11-09,idomoo.co,4
2022-10-03,imageadvantage.net,4
2022-10-04,imagerelay.com,4
2022-10-18,imolin.org,4
2023-01-19,impartmedia.com,4
2023-01-18,imperiumglobaladvisors.com,4
2022-10-03,infoinspired.com,4
2022-10-22,insistinestimable.com,4
2022-10-24,insistinestimable.com,5
2022-10-27,insistinestimable.com,4
2022-10-04,intergri.com,4
2022-10-04,invite-shutterfly.com,4
2023-01-23,ip2location.io,4
2022-12-13,iranwire.com,6
2022-10-04,irene-eux.com,4
2022-10-04,irrzfiy.com,4
2022-10-18,isinglemom.com,4
2022-11-01,itshome.com,4
2022-10-13,jci.org,4
2022-11-21,jflconsulting.com,4
2022-10-06,jiffyassets.com,4
2022-10-12,jockopodcast.com,5
2022-10-04,justicethomas.com,4
2022-10-03,justthrivehealth.com,4
2022-10-03,kamiblogs.com,4
2022-11-09,karenmonica.com,4
2022-10-05,kavkaz-uzel.eu,4
2022-10-04,keepingmykiddobusy.com,4
2023-01-10,kenmoredesign.com,4
2022-10-03,kennyflowers.com,5
2022-10-04,kentuckypress.com,4
2023-01-17,kfoxtv.com,4
2022-10-11,kinrgy.com,4
2022-10-18,kjrh.com,5
2022-10-03,knockoutantipathy.com,4
2022-11-18,knsso.com,8
2022-11-19,knsso.com,4
2022-10-12,koamnewsnow.com,4
2022-11-09,kohlsbuildalistsweepstakes.com,4
2022-10-04,lakeeriewalleyetrail.com,4
2023-01-19,lecapush.net,4
2022-10-03,legavenue.com,4
2022-10-03,librarycalendar.com,4
2022-11-11,licenceattribute.com,4
2022-10-04,lifeovercs.com,4
2022-10-03,lifesambrosia.com,4
2022-11-09,liveoriginal.com,4
2022-11-04,lluislaw.com,4
2022-10-24,loddingtoto.one,5
2023-01-16,logix.com,4
2023-01-17,logix.com,4
2022-10-04,lorettalynn.com,7
2022-10-27,lvmpd.com,4
2022-10-07,machinerymanager.com,4
2022-10-05,made-to-order.com,4
2022-10-03,makingmusicfun.net,5
2022-10-25,mananalu.com,4
2023-01-12,manualowl.com,4
2023-01-16,mapline.com,4
2022-11-01,marionstar.com,4
2023-01-20,markmeynell.net,4
2022-10-17,marocmama.com,4
2022-10-03,marqeta.com,4
2022-10-19,maryferrell.org,5
2022-10-04,massrel.io,4
2022-11-02,maviere.com,4
2022-10-04,maya.live,4
2022-12-12,mctlaw.com,4
2023-01-19,mdaemon.com,4
2022-10-05,mentalflare.com,4
2022-10-13,metabolicmds.com,4
2022-10-21,midasplayer.tech,4
2022-10-25,midasplayer.tech,4
2022-10-17,milkeninstitute.org,5
2022-10-03,milorganite.com,4
2023-01-16,mindorks.com,4
2022-10-03,mobile-bt.com,4
2022-11-02,mobilemaplets.com,4
2022-11-11,monitorinflictmotivation.com,4
2022-10-03,monnarita.com,4
2022-12-05,moolahtrkz.com,5
2022-11-01,mosaiccreative.biz,4
2022-10-05,mostlyfeeds.com,4
2022-10-03,movable-ink-552.com,4
2022-11-01,movementdespise.com,5
